Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.8278934955596924	0	14.955224	7.7487273	63.0	9.0	14.955223880597014	7.7487270708506815	1002	1002
1.3261215686798096	1	12.382716	3.9364328	24.0	8.0	12.382716049382717	3.936432869259536	1003	2005
1.6648402214050293	2	10.670213	2.2379146	20.0	8.0	10.670212765957446	2.2379145776499842	1003	3008
2.0242278575897217	3	10.763441	2.002138	19.0	8.0	10.763440860215054	2.0021378330216093	1001	4009
2.364274740219116	4	10.09	1.5105959	15.0	8.0	10.09	1.5105959089048269	1009	5018
2.7108078002929688	5	9.843137	1.4802299	17.0	8.0	9.843137254901961	1.4802298313809623	1004	6022
3.045231342315674	6	9.625	1.0018013	13.0	8.0	9.625	1.0018012623423715	1001	7023
3.381004810333252	7	9.718447	1.144149	14.0	8.0	9.718446601941748	1.1441491155461156	1001	8024
3.7030460834503174	8	9.542857	1.0050215	13.0	8.0	9.542857142857143	1.0050214063446035	1002	9026
4.02399468421936	9	9.509434	1.0023113	14.0	8.0	9.50943396226415	1.0023113196447868	1008	10034
4.367778301239014	10	9.392524	0.88346183	13.0	8.0	9.392523364485982	0.8834618540632879	1005	11039
4.723323583602905	11	9.392524	0.8400824	13.0	8.0	9.392523364485982	0.8400824319343639	1005	12044
5.076850175857544	12	9.324074	0.7677372	11.0	8.0	9.324074074074074	0.7677372199896758	1007	13051
5.421871900558472	13	9.45283	0.89159673	13.0	8.0	9.452830188679245	0.8915967811857102	1002	14053
5.785058259963989	14	9.373832	0.8148547	13.0	8.0	9.373831775700934	0.8148546626443857	1003	15056
6.130896091461182	15	9.5	0.6181225	11.0	8.0	9.5	0.6181225377691006	1007	16063
6.483176231384277	16	9.383178	0.8608284	12.0	8.0	9.383177570093459	0.860828331937903	1004	17067
6.837468385696411	17	9.333333	0.7328281	11.0	8.0	9.333333333333334	0.73282810879294	1008	18075
7.246984243392944	18	9.287037	0.805662	12.0	8.0	9.287037037037036	0.8056619767932952	1003	19078
7.5949554443359375	19	9.392524	0.7824835	12.0	8.0	9.392523364485982	0.7824835771564291	1005	20083
7.957365036010742	20	9.333333	0.7200822	11.0	8.0	9.333333333333334	0.7200822998230956	1008	21091
8.28157901763916	21	9.392524	0.81753	12.0	8.0	9.392523364485982	0.81753000854688	1005	22096
8.632935523986816	22	9.392524	0.75821984	11.0	8.0	9.392523364485982	0.758219869793339	1005	23101
8.985696792602539	23	9.411215	0.7228354	11.0	8.0	9.411214953271028	0.7228354219689536	1007	24108
9.348774909973145	24	9.296296	0.8741055	13.0	8.0	9.296296296296296	0.8741054608300701	1004	25112
9.724941730499268	25	9.351851	0.724119	11.0	8.0	9.351851851851851	0.7241190665191538	1010	26122
10.135807037353516	26	9.324074	0.6915991	11.0	8.0	9.324074074074074	0.6915991092000949	1007	27129
10.523287534713745	27	9.287037	0.7582989	11.0	8.0	9.287037037037036	0.7582988505704107	1003	28132
10.887317419052124	28	9.342592	0.873075	12.0	8.0	9.342592592592593	0.873074993989815	1009	29141
11.255916833877563	29	9.211009	0.8135707	12.0	8.0	9.211009174311927	0.8135706156842335	1004	30145
11.616128206253052	30	9.229358	0.73737735	11.0	8.0	9.229357798165138	0.7373772953178026	1006	31151
11.975716590881348	31	9.229358	0.7618547	11.0	8.0	9.229357798165138	0.7618546602578604	1006	32157
12.332825183868408	32	9.373832	0.7428584	11.0	8.0	9.373831775700934	0.7428583906257068	1003	33160
12.680203437805176	33	9.172728	0.7729412	11.0	8.0	9.172727272727272	0.7729411468727264	1009	34169
13.03813886642456	34	9.420561	0.6840968	11.0	8.0	9.42056074766355	0.6840968283867327	1008	35177
13.402154684066772	35	9.383178	0.66480076	11.0	8.0	9.383177570093459	0.6648007193935977	1004	36181
