Iteration	AverageReturn	StdReturn
0	930.3699880071151	171.37668463008194
1	745.0130131025277	62.15682533946333
2	749.017037466019	58.01935412632076
3	731.0135763510025	14.339013697236739
4	738.5036528536913	52.4791687080498
5	741.6305823678986	20.364599630130602
6	746.8228854951949	54.68448257704015
7	733.6617462415334	18.083507846810896
8	731.105307483834	14.342620474773868
9	747.7808450012797	66.8119801495888
10	733.9670284222668	13.866535181546386
11	746.2915775090254	67.70800985284278
12	749.2536296637787	61.652147785296016
13	736.1364614969441	17.920736596231595
14	738.7561847159723	20.743723661553766
15	738.5655892892056	19.54941484193665
16	740.2046759162536	58.76487092802788
17	736.1909924293147	17.899476418722774
18	728.3875418646592	9.61163727437119
19	740.1813094555182	61.20735048979712
