Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.9490141868591309	0	20.836735	10.180708	51.0	9.0	20.836734693877553	10.180707923694298	1021	1021
1.4244177341461182	1	13.207792	3.8522642	26.0	8.0	13.207792207792208	3.85226417597466	1017	2038
1.783125638961792	2	13.076923	3.4780235	25.0	8.0	13.076923076923077	3.4780234247055883	1020	3058
2.135265588760376	3	11.811765	3.2881038	25.0	8.0	11.811764705882354	3.2881037540773947	1004	4062
2.493115186691284	4	10.723404	2.194792	19.0	8.0	10.72340425531915	2.1947919754047405	1008	5070
2.840017318725586	5	10.489583	2.2220242	19.0	8.0	10.489583333333334	2.2220241882246814	1007	6077
3.158421039581299	6	10.244898	1.8847466	19.0	8.0	10.244897959183673	1.884746637494508	1004	7081
3.496936082839966	7	9.8529415	1.2864075	14.0	8.0	9.852941176470589	1.2864075134487667	1005	8086
3.848423957824707	8	9.718447	1.1858181	15.0	8.0	9.718446601941748	1.1858181046204914	1001	9087
4.189728260040283	9	9.462264	1.0655366	14.0	8.0	9.462264150943396	1.0655366997556517	1003	10090
4.504521369934082	10	9.653846	1.0630981	14.0	8.0	9.653846153846153	1.063098073929635	1004	11094
4.85396671295166	11	9.533334	0.9367285	13.0	8.0	9.533333333333333	0.936728518547566	1001	12095
5.202345132827759	12	9.644231	1.1086917	12.0	8.0	9.64423076923077	1.1086917899971573	1003	13098
5.5414698123931885	13	9.580953	0.9539986	12.0	8.0	9.58095238095238	0.9539986261440879	1006	14104
5.8831517696380615	14	9.509434	0.9239505	13.0	8.0	9.50943396226415	0.9239505318260599	1008	15112
6.241608142852783	15	9.373832	0.9523544	13.0	8.0	9.373831775700934	0.9523543329238876	1003	16115
6.593053340911865	16	9.5	0.7554831	12.0	8.0	9.5	0.7554831017177897	1007	17122
6.956479549407959	17	9.392524	0.8400824	12.0	8.0	9.392523364485982	0.8400824319343638	1005	18127
7.3186256885528564	18	9.420561	0.7976294	12.0	8.0	9.42056074766355	0.7976294689103502	1008	19135
7.66987943649292	19	9.364486	0.9005971	13.0	8.0	9.36448598130841	0.9005971369455403	1002	20137
8.011113405227661	20	9.411215	0.85328686	13.0	8.0	9.411214953271028	0.8532868942439871	1007	21144
8.369553565979004	21	9.471698	0.9029046	13.0	8.0	9.471698113207546	0.902904612377766	1004	22148
8.71442985534668	22	9.342592	0.85160017	12.0	8.0	9.342592592592593	0.8516002043760198	1009	23157
9.086535453796387	23	9.411215	1.0226707	13.0	8.0	9.411214953271028	1.0226707843848595	1007	24164
9.436426639556885	24	9.383178	0.90321195	13.0	8.0	9.383177570093459	0.9032119198766033	1004	25168
9.794833660125732	25	9.439252	0.7633861	12.0	8.0	9.439252336448599	0.7633860880995192	1010	26178
10.145385265350342	26	9.401869	0.9845519	14.0	8.0	9.401869158878505	0.9845518272989036	1006	27184
10.47368860244751	27	9.305555	0.73859644	11.0	8.0	9.305555555555555	0.7385964333504628	1005	28189
10.841002702713013	28	9.401869	0.8072083	11.0	8.0	9.401869158878505	0.8072083320257639	1006	29195
11.194723129272461	29	9.364486	0.7900375	12.0	8.0	9.36448598130841	0.7900375403890861	1002	30197
11.56652283668518	30	9.429907	0.8215799	11.0	8.0	9.429906542056075	0.8215798495639592	1009	31206
11.921339988708496	31	9.373832	0.79158384	12.0	8.0	9.373831775700934	0.7915838197330729	1003	32209
12.278329610824585	32	9.401869	0.79554623	14.0	8.0	9.401869158878505	0.7955461661693614	1006	33215
12.643642663955688	33	9.411215	0.6964969	11.0	8.0	9.411214953271028	0.6964968554724004	1007	34222
12.997526407241821	34	9.220183	0.7823489	11.0	8.0	9.220183486238533	0.7823488295533152	1005	35227
13.349939107894897	35	9.35514	0.8344491	13.0	8.0	9.355140186915888	0.8344491321700828	1001	36228
13.690150022506714	36	9.401869	0.7085567	12.0	8.0	9.401869158878505	0.7085566886364435	1006	37234
14.031333684921265	37	9.342592	0.806938	11.0	8.0	9.342592592592593	0.806937936906677	1009	38243
14.44807744026184	38	9.287037	0.82832855	12.0	8.0	9.287037037037036	0.8283285929433544	1003	39246
14.842486143112183	39	9.443397	0.71480554	11.0	8.0	9.443396226415095	0.714805537340174	1001	40247
15.22142481803894	40	9.296296	0.6839328	11.0	8.0	9.296296296296296	0.6839327893562738	1004	41251
15.564202785491943	41	9.35514	0.7643009	11.0	8.0	9.355140186915888	0.7643008710377895	1001	42252
15.926754236221313	42	9.364486	0.7660131	11.0	8.0	9.36448598130841	0.7660131445699503	1002	43254
16.281355381011963	43	9.247706	0.79165334	11.0	8.0	9.247706422018348	0.7916532845799862	1008	44262
16.61653208732605	44	9.4811325	0.66205984	11.0	8.0	9.481132075471699	0.6620598513027453	1005	45267
16.993878602981567	45	9.333333	0.8050764	11.0	8.0	9.333333333333334	0.8050764858994132	1008	46275
17.359222412109375	46	9.314815	0.7533646	11.0	8.0	9.314814814814815	0.7533646521039997	1006	47281
17.72023367881775	47	9.333333	0.74535596	11.0	8.0	9.333333333333334	0.7453559924999299	1008	48289
18.07682728767395	48	9.401869	0.6816667	11.0	8.0	9.401869158878505	0.6816666365910455	1006	49295
18.4293270111084	49	9.5	0.71704316	11.0	8.0	9.5	0.717043194930561	1007	50302
18.76534938812256	50	9.4811325	0.7676371	11.0	8.0	9.481132075471699	0.7676370515637114	1005	51307
19.105268239974976	51	9.542857	0.8510897	13.0	8.0	9.542857142857143	0.8510897376285292	1002	52309
